date,sym,side,start-time,end-time,volume
2023/9/4,002103.SZ,SELL,z 09:30:00,z 09:39:30,24500
2023/9/4,002128.SZ,SELL,z 09:30:00,z 09:39:30,98800
2023/9/4,002133.SZ,BUY,z 09:30:00,z 09:40:00,339200
2023/9/4,002146.SZ,SELL,z 09:30:00,z 09:39:30,243500
2023/9/4,002170.SZ,BUY,z 09:30:00,z 09:40:00,34600
2023/9/4,002178.SZ,SELL,z 09:30:00,z 09:39:30,143500
2023/9/4,002208.SZ,BUY,z 09:30:00,z 09:40:00,181600
2023/9/4,002223.SZ,BUY,z 09:30:00,z 09:40:00,12100
2023/9/4,002233.SZ,BUY,z 09:30:00,z 09:40:00,207800
2023/9/4,002236.SZ,BUY,z 09:30:00,z 09:40:00,16300
2023/9/4,002244.SZ,SELL,z 09:30:00,z 09:39:30,173200
2023/9/4,002252.SZ,SELL,z 09:30:00,z 09:39:30,107000
2023/9/4,002268.SZ,BUY,z 09:30:00,z 09:40:00,12000
2023/9/4,002270.SZ,SELL,z 09:30:00,z 09:39:30,600
2023/9/4,002311.SZ,SELL,z 09:30:00,z 09:39:30,17700
2023/9/4,002338.SZ,SELL,z 09:30:00,z 09:39:30,19600
2023/9/4,002352.SZ,SELL,z 09:30:00,z 09:39:30,11400
2023/9/4,002373.SZ,SELL,z 09:30:00,z 09:39:30,77400
2023/9/4,002384.SZ,SELL,z 09:30:00,z 09:39:30,11900
2023/9/4,002402.SZ,SELL,z 09:30:00,z 09:39:30,6500
2023/9/4,002422.SZ,SELL,z 09:30:00,z 09:39:30,25800
2023/9/4,002458.SZ,SELL,z 09:30:00,z 09:39:30,8500
2023/9/4,002465.SZ,SELL,z 09:30:00,z 09:39:30,256800
2023/9/4,002466.SZ,SELL,z 09:30:00,z 09:39:30,4400
2023/9/4,002483.SZ,SELL,z 09:30:00,z 09:39:30,74500
2023/9/4,002531.SZ,SELL,z 09:30:00,z 09:39:30,36700
2023/9/4,002568.SZ,SELL,z 09:30:00,z 09:39:30,19500
2023/9/4,002594.SZ,SELL,z 09:30:00,z 09:39:30,800
2023/9/4,002616.SZ,BUY,z 09:30:00,z 09:40:00,27000
2023/9/4,002625.SZ,BUY,z 09:30:00,z 09:40:00,84800
2023/9/4,002664.SZ,SELL,z 09:30:00,z 09:39:30,9000
2023/9/4,002674.SZ,BUY,z 09:30:00,z 09:40:00,43800
2023/9/4,002739.SZ,BUY,z 09:30:00,z 09:40:00,46200
2023/9/4,002756.SZ,SELL,z 09:30:00,z 09:39:30,14800
2023/9/4,002798.SZ,BUY,z 09:30:00,z 09:40:00,167200
2023/9/4,002843.SZ,SELL,z 09:30:00,z 09:39:30,6100
2023/9/4,002848.SZ,BUY,z 09:30:00,z 09:40:00,17800
2023/9/4,002893.SZ,SELL,z 09:30:00,z 09:39:30,31400
2023/9/4,002918.SZ,SELL,z 09:30:00,z 09:39:30,14800
2023/9/4,002922.SZ,BUY,z 09:30:00,z 09:40:00,14500
2023/9/4,002948.SZ,BUY,z 09:30:00,z 09:40:00,107800
2023/9/4,002987.SZ,SELL,z 09:30:00,z 09:39:30,36800
2023/9/4,002990.SZ,BUY,z 09:30:00,z 09:40:00,28300
2023/9/4,003006.SZ,BUY,z 09:30:00,z 09:40:00,7000
2023/9/4,003010.SZ,BUY,z 09:30:00,z 09:40:00,9400
2023/9/4,003012.SZ,BUY,z 09:30:00,z 09:40:00,9600
2023/9/4,300088.SZ,SELL,z 09:30:00,z 09:39:30,176700
