,date,sym,side,start-time,end-time,volume
271,2023/9/4,002270.SZ,SELL,z 09:30:00,z 09:39:30,600
272,2023/9/4,002311.SZ,SELL,z 09:30:00,z 09:39:30,17700
273,2023/9/4,002338.SZ,SELL,z 09:30:00,z 09:39:30,19600
274,2023/9/4,002352.SZ,SELL,z 09:30:00,z 09:39:30,11400
275,2023/9/4,002373.SZ,SELL,z 09:30:00,z 09:39:30,77400
276,2023/9/4,002384.SZ,SELL,z 09:30:00,z 09:39:30,11900
277,2023/9/4,002402.SZ,SELL,z 09:30:00,z 09:39:30,6500
278,2023/9/4,002422.SZ,SELL,z 09:30:00,z 09:39:30,25800
279,2023/9/4,002458.SZ,SELL,z 09:30:00,z 09:39:30,8500
280,2023/9/4,002465.SZ,SELL,z 09:30:00,z 09:39:30,256800
281,2023/9/4,002466.SZ,SELL,z 09:30:00,z 09:39:30,4400
282,2023/9/4,002483.SZ,SELL,z 09:30:00,z 09:39:30,74500
283,2023/9/4,002531.SZ,SELL,z 09:30:00,z 09:39:30,36700
284,2023/9/4,002568.SZ,SELL,z 09:30:00,z 09:39:30,19500
285,2023/9/4,002594.SZ,SELL,z 09:30:00,z 09:39:30,800
288,2023/9/4,002664.SZ,SELL,z 09:30:00,z 09:39:30,9000
291,2023/9/4,002756.SZ,SELL,z 09:30:00,z 09:39:30,14800
293,2023/9/4,002843.SZ,SELL,z 09:30:00,z 09:39:30,6100
295,2023/9/4,002893.SZ,SELL,z 09:30:00,z 09:39:30,31400
296,2023/9/4,002918.SZ,SELL,z 09:30:00,z 09:39:30,14800
299,2023/9/4,002987.SZ,SELL,z 09:30:00,z 09:39:30,36800
304,2023/9/4,300088.SZ,SELL,z 09:30:00,z 09:39:30,176700
307,2023/9/4,300123.SZ,SELL,z 09:30:00,z 09:39:30,111000
309,2023/9/4,300253.SZ,SELL,z 09:30:00,z 09:39:30,51100
311,2023/9/4,300314.SZ,SELL,z 09:30:00,z 09:39:30,6300
315,2023/9/4,300414.SZ,SELL,z 09:30:00,z 09:39:30,31200
316,2023/9/4,300433.SZ,SELL,z 09:30:00,z 09:39:30,14700
319,2023/9/4,300487.SZ,SELL,z 09:30:00,z 09:39:30,45000
322,2023/9/4,300577.SZ,SELL,z 09:30:00,z 09:39:30,16200
323,2023/9/4,300588.SZ,SELL,z 09:30:00,z 09:39:30,100
324,2023/9/4,300592.SZ,SELL,z 09:30:00,z 09:39:30,2200
326,2023/9/4,300672.SZ,SELL,z 09:30:00,z 09:39:30,18700
327,2023/9/4,300691.SZ,SELL,z 09:30:00,z 09:39:30,25000
328,2023/9/4,300697.SZ,SELL,z 09:30:00,z 09:39:30,6500
329,2023/9/4,300708.SZ,SELL,z 09:30:00,z 09:39:30,22000
332,2023/9/4,300777.SZ,SELL,z 09:30:00,z 09:39:30,47500
336,2023/9/4,301103.SZ,SELL,z 09:30:00,z 09:39:30,1300
340,2023/9/4,301363.SZ,SELL,z 09:30:00,z 09:39:30,6300
341,2023/9/4,301379.SZ,SELL,z 09:30:00,z 09:39:30,22100
349,2023/9/4,600143.SH,SELL,z 09:30:00,z 09:49:30,421800
350,2023/9/4,600196.SH,SELL,z 09:30:00,z 09:39:30,52700
351,2023/9/4,600221.SH,SELL,z 09:30:00,z 09:39:30,209900
354,2023/9/4,600418.SH,SELL,z 09:30:00,z 09:39:30,59500
361,2023/9/4,600576.SH,SELL,z 09:30:00,z 09:39:30,106300
363,2023/9/4,600637.SH,SELL,z 09:30:00,z 09:39:30,442100
372,2023/9/4,600897.SH,SELL,z 09:30:00,z 09:39:30,19856
373,2023/9/4,600919.SH,SELL,z 09:30:00,z 09:39:30,49200
374,2023/9/4,600985.SH,SELL,z 09:30:00,z 09:39:30,272300
375,2023/9/4,600995.SH,SELL,z 09:30:00,z 09:39:30,10700
376,2023/9/4,600999.SH,SELL,z 09:30:00,z 09:39:30,189000
377,2023/9/4,601006.SH,SELL,z 09:30:00,z 09:39:30,86500
378,2023/9/4,601021.SH,SELL,z 09:30:00,z 09:39:30,33100
379,2023/9/4,601022.SH,SELL,z 09:30:00,z 09:39:30,64457
383,2023/9/4,601101.SH,SELL,z 09:30:00,z 09:39:30,130900
385,2023/9/4,601137.SH,SELL,z 09:30:00,z 09:39:30,91500
387,2023/9/4,601222.SH,SELL,z 09:30:00,z 09:39:30,64700
388,2023/9/4,601318.SH,SELL,z 09:30:00,z 09:39:30,50100
389,2023/9/4,601319.SH,SELL,z 09:30:00,z 09:39:30,355400
390,2023/9/4,601336.SH,SELL,z 09:30:00,z 09:39:30,66200
399,2023/9/4,601881.SH,SELL,z 09:30:00,z 09:39:30,55100
400,2023/9/4,601916.SH,SELL,z 09:30:00,z 09:39:30,113200
403,2023/9/4,603073.SH,SELL,z 09:30:00,z 09:39:30,1600
405,2023/9/4,603153.SH,SELL,z 09:30:00,z 09:39:30,7200
407,2023/9/4,603279.SH,SELL,z 09:30:00,z 09:39:30,40600
408,2023/9/4,603315.SH,SELL,z 09:30:00,z 09:39:30,78500
409,2023/9/4,603533.SH,SELL,z 09:30:00,z 09:39:30,26300
410,2023/9/4,603613.SH,SELL,z 09:30:00,z 09:39:30,9300
413,2023/9/4,603650.SH,SELL,z 09:30:00,z 09:39:30,8600
415,2023/9/4,603693.SH,SELL,z 09:30:00,z 10:09:30,124800
420,2023/9/4,603918.SH,SELL,z 09:30:00,z 09:39:30,12400
422,2023/9/4,603927.SH,SELL,z 09:30:00,z 09:39:30,7800
423,2023/9/4,603939.SH,SELL,z 09:30:00,z 09:39:30,12600
