time,askprice_0,bidprice_0,cache_len,vwap,cache_size
95151000,262100,262000,30, 262228.2647584973,30
95154000,262100,262000,30, 262229.6229802513,30
95157000,262100,262000,30, 262230.10752688174,30
95200000,262100,262000,30, 262249.7098646035,30
95203000,262100,262000,30, 262245.85741811176,30
95206000,262000,261900,30, 262246.58385093167,30
95209000,262100,261900,30, 262201.4736842105,30
95212000,262000,261900,30, 262197.29119638825,30
95215000,261900,261800,30, 262160.1226993865,30
95218000,261900,261800,30, 262149.60000000003,30
95221000,261900,261800,30, 262148.30339321354,30
95224000,262100,262000,30, 262139.8854961832,30
95227000,262100,262000,30, 262135.76923076922,30
95230000,262200,262000,30, 262132.11678832117,30
95233000,262200,262100,30, 262065.29562982006,30
95236000,262200,262100,30, 262054.7619047619,30
95239000,262200,262100,30, 262049.1935483871,30
95242000,262200,262100,30, 262032.4929971989,30
95245000,262200,262100,30, 262030.9192200557,30
95248000,262200,262100,30, 262026.06232294618,30
95251000,262200,262100,30, 262035.1063829787,30
95254000,262400,262200,30, 262043.68686868687,30
95257000,262400,262200,30, 262049.49748743718,30
95300000,262400,262200,30, 262048.96907216494,30
95303000,262500,262200,30, 262043.2584269663,30
95306000,262400,262300,30, 262056.8306010929,30
95309000,262400,262300,30, 262060.8108108108,30
95312000,262400,262300,30, 262063.53887399464,30
95315000,262500,262400,30, 262063.3152173913,30
95318000,262400,262300,30, 262102.67639902674,30
95321000,262400,262300,30, 262103.71287128713,30
95324000,262400,262200,30, 262107.10784313726,30
95327000,262200,262000,30, 262110.6280193237,30
95330000,262200,262000,30, 262115.3086419753,30
95333000,262000,261900,30, 262117.70573566086,30
95336000,261900,261800,30, 262128.9855072464,30
95339000,261900,261800,30, 262126.14942528735,30
95342000,261900,261800,30, 262132.9383886256,30
95345000,261900,261800,30, 262141.52334152334,30
95348000,261900,261800,30, 262140.09779951102,30
95351000,261900,261800,30, 262134.79318734794,30
95354000,262200,261800,30, 262122.35023041477,30
95357000,262200,261900,30, 262125.18518518517,30
95400000,262000,261900,30, 262123.89162561574,30
95403000,262000,261900,30, 262123.32506203474,30
